text,gold,pred,false_negatives,false_positives
"I’m really sorry about your situation :( Although I love the names Sapphira, Cirilla, and Scarlett!",sadness,(nenhum),sadness,
"Kings fan here, good luck to you guys! Will be an interesting game to watch! ",excitement,(nenhum),excitement,
I’m sorry to hear that friend :(. It’s for the best most likely if she didn’t accept you for who you are,remorse,(nenhum),remorse,
"Girlfriend weak as well, that jump was pathetic.",sadness,(nenhum),sadness,
[NAME] has towed the line of the Dark Side. He wouldn't cross it by doing something like this.,"annoyance, disapproval",neutral,"annoyance, disapproval",neutral
Lol! But I love your last name though. XD,"amusement, love",amusement,love,
Translation }}} I wish I could afford it.,desire,(nenhum),desire,
"It's great that you're a recovering addict, that's cool. Have you ever tried DMT?","admiration, curiosity",admiration,curiosity,
I've also heard that intriguing but also kinda scary,fear,(nenhum),fear,
I never wanted to punch osap harder after seeing that However not too hardly I cant afford them taking everything away,disapproval,(nenhum),disapproval,
The thought of shooting anything at asylum seekers is appalling.,fear,(nenhum),fear,
"if the pain doesn't go away after 4 hours or so, it's broke.","neutral, sadness",(nenhum),"neutral, sadness",
"I know you're joking, but there are people here either stupid or desperate enough to believe and perpetuate such idiocy. ",amusement,(nenhum),amusement,
May regret asking but foid ?,remorse,(nenhum),remorse,
"Watch Vegan Gains’ video on that, he had it when he was like 13, highly doubt he was juicing then","confusion, neutral",neutral,confusion,
This guy is a little turd but I love him so dearly. I'll pass on your kisses :),"admiration, love",love,admiration,
Same here but it seems like that will make it more rewarding to actually build a base with gardens and stuff.,neutral,(nenhum),neutral,
What's your source for that? Just curious (and yes I know it sounds like a tired contrarian statement).,curiosity,(nenhum),curiosity,
What's that like? Like what's the thought process? I dunno. I know what's a weird question..i just can't imagine,neutral,(nenhum),neutral,
I'm going to hold out hope for something minor even though it looked really bad. Just going to wait for the official news.,optimism,(nenhum),optimism,
"i mean, yeah tbh.","approval, neutral",neutral,approval,
"""We need more content."" ""OK. here's some ballerina shoes.""",neutral,(nenhum),neutral,
"I totally thought the same thing! I was like, oh honey nooooo!",neutral,(nenhum),neutral,
Hey that's a thought! Maybe we need [NAME] to be the celebrity vaccine endorsement!,neutral,(nenhum),neutral,
I like to bring up the fact that all of these pyramid schemes have corporate offices that have the exact same structure they are railing against.,neutral,(nenhum),neutral,
in what universe? lol the mr. blue sky cover is one of the best on the album imo.,"admiration, amusement",amusement,admiration,
You didn't watch it to the end.,disapproval,neutral,disapproval,neutral
please dont bring a woman in as a sex toy for you both. hire a sex worker instead,caring,(nenhum),caring,
so wont back up your words? thats how i thought this would go.justifies *everything* I HAVE SAID.,neutral,(nenhum),neutral,
A surprise turn of events! I'm so glad you heard such great things about yourself!,"joy, surprise",(nenhum),"joy, surprise",
"Despite having lived here for 10 years, i've never been to portillos, and given this, it's somewhat unlikely i start going now...",neutral,(nenhum),neutral,
You take that back right now! [NAME] does not deserve this.,neutral,(nenhum),neutral,
OP is just a kid. Let's just move on.,approval,neutral,approval,neutral
Get back on your meds mate..You aren't funny at all...,"annoyance, disapproval",(nenhum),"annoyance, disapproval",
"""But Aunt [NAME], I don't *want* to send Grandma back to Italy!""","disapproval, neutral",neutral,disapproval,
"I thought it said “now my biggest fear is the thing living inside my casket” like, *weet doo feek?!*","fear, neutral",(nenhum),"fear, neutral",
It's real and it plays SO OFTEN I CAN'T STAND IT!!,neutral,(nenhum),neutral,
Yea... I'll have to pass on the carpool with a username like that,desire,neutral,desire,neutral
I'm sorry that's what you read because it isn't what I said.,remorse,(nenhum),remorse,
"I didn't know this was a ""reveal"" he'd been talking about for awhile. ",neutral,(nenhum),neutral,
Loving everyone so far. This is going to be a great season.,love,admiration,love,admiration
And some of us wish to die first so we don't have to deal with the loneliness.,neutral,(nenhum),neutral,
I’m so sorry 🤪,sadness,(nenhum),sadness,
"Help, help, I'm being repressed!",fear,(nenhum),fear,
I know people around here may mock me from my optimism but what if we get actual desings for the crusaders in Heroes?,"confusion, optimism",(nenhum),"confusion, optimism",
Crap. I need more Excedrin. STAT.,disappointment,(nenhum),disappointment,
Borrowed time is stupid,annoyance,(nenhum),annoyance,
My only issue with private schooling is it discourages those with children in private schools from wanting money to go towards public education.,annoyance,(nenhum),annoyance,
Boomers ruined the world,neutral,(nenhum),neutral,
Lol looks delicious,"admiration, amusement",amusement,admiration,
"You gotta work on you dude!! If you're not confident you're not ready, get yourself straight And all will fall into place. ","caring, optimism",(nenhum),"caring, optimism",
Man I hate double standards. I love the show but change the word ‘white’ to ‘black’ and it’s suddenly not funny anymore,"disapproval, love",love,disapproval,
Some great advice right here!!!!!! I forgot about this,"admiration, realization",admiration,realization,
death of fear is certain.,fear,neutral,fear,neutral
"I agree. His parents were very supportive then. When they did a cast change, they decided to make his parents jerks! ",approval,(nenhum),approval,
Eff your video - love Canada 🇨🇦 Stupid geolock,"anger, annoyance",love,"anger, annoyance",love
New Haven has tons of locations that have strong cyber punk-y vibes at night!,admiration,neutral,admiration,neutral
"If he was stuttering the words ""I sell to others and we need to do your time on.",optimism,neutral,optimism,neutral
What you mean you weren’t looking forward to that scene? ;),"curiosity, neutral",(nenhum),"curiosity, neutral",
If there is no goal on this powerplay it will be difficult not to be hopeless,annoyance,(nenhum),annoyance,
I'm not sure I have heard of this. Really interesting.,confusion,(nenhum),confusion,
Not at all. I'm not going to argue with someone who doesn't understand what a strawman is.,disapproval,(nenhum),disapproval,
Fucking love [NAME]. [NAME] best couple don't @ me,admiration,love,admiration,love
>happily live in any hole they find. What's my love life got to do with this,"curiosity, joy",(nenhum),"curiosity, joy",
Not really cringey. Its not really embarrassing for you i think people might just feel bad upon reading it.,disapproval,(nenhum),disapproval,
I had to write in the Swangas. Seems far better than the choices given.,realization,(nenhum),realization,
I thought this allegation was squashed when it came out. I was surprised to see it still making headlines. Poor guy.,surprise,(nenhum),surprise,
Because of this bad situation some people are afraid of becoming youtubers because of this,fear,(nenhum),fear,
That’s how you know they’re happy.,"excitement, neutral",(nenhum),"excitement, neutral",
"I’m so proud of you for taking care of you and your babies, mama! We love you and stay strong.","caring, love","admiration, love",caring,admiration
Wouldn't wipe my arse with it.,"annoyance, neutral",(nenhum),"annoyance, neutral",
Not sure how anyone whos been paying attention could,confusion,(nenhum),confusion,
Lovely places to buy from but very hard to get a good price as a seller because of their high rents (and bargaining expertise!),disappointment,admiration,disappointment,admiration
That's too many pills,anger,neutral,anger,neutral
it is actually called a mechanical bull,approval,neutral,approval,neutral
No point in getting rid of Keemun for another Keemun.,disapproval,neutral,disapproval,neutral
"Based on what I've seen, all the INFJ girls seem to be blue-haired damaged moonquacks that got abandoned by daddy.","annoyance, neutral",neutral,annoyance,
Talk about an oldddd school shit coin.,anger,(nenhum),anger,
All the ladies can stay at my place.,caring,neutral,caring,neutral
"My girl has slowly been getting more and more into different [NAME] music, but she will always make it a point to play this track. I love it","joy, love",love,joy,
"I would hope the guy is genuine and honest, but in my circumstances, there's not much closure. ",optimism,(nenhum),optimism,
"Hi, [NAME]! I thought I would stop by and wish you a wonderful and prosperous year! Have a good one! -HappyFriendlyBot","caring, love, optimism",(nenhum),"caring, love, optimism",
Ghost them. It’ll drive them crazy and give you the satisfaction,neutral,(nenhum),neutral,
"Wow, an [NAME] sighting",surprise,(nenhum),surprise,
i love how the caption implies that the only unrealistic thing/ the only thing that gives away the photoshop is the sleeve lol,amusement,(nenhum),amusement,
I agree with the concealer part for the cut crease but that's it.,approval,(nenhum),approval,
Ha. Do you have evidence of his cheating? Send it to his family and don’t say another word.,curiosity,(nenhum),curiosity,
When I die Im gonna ask satan for a job in hell whipping all these cunts,desire,(nenhum),desire,
[NAME] stopped napping at 18 months. We’ve been implementing quiet time since. It’s wondrous.,"admiration, surprise",(nenhum),"admiration, surprise",
I don’t think that would be an issue with [NAME]. He doesn’t seem like work ethic is his problem,approval,(nenhum),approval,
"It depends on who you ask. i didnt downvote you, im answering now",annoyance,neutral,annoyance,neutral
Do you have the link to that ? I would love to hear the story from him,"curiosity, desire",love,"curiosity, desire",love
What happened to one of your star players?? i saw the headline 'freak injury' or someting like that.. but i was too scared to see someting gruesome..,neutral,(nenhum),neutral,
"Or finishing in 91 minutes and sitting there for another half hour, bursting for a piss","annoyance, neutral",neutral,annoyance,
I've found that carrying 21 chromosome's is the sweet spot,realization,(nenhum),realization,
"Hope gallery for sure, had [NAME] do mine and a good friend back in 2015. Not sure if he’s still there, however.",optimism,(nenhum),optimism,
"Wow that’s scary, she’s so young and healthy. I hate that. ",fear,(nenhum),fear,
The worst bbq in Texas Edit: Some of you are getting seriously r/wooooshed It's their slogan.,disapproval,(nenhum),disapproval,
How dare you! Don’t you know seatbelts cause autism!,anger,(nenhum),anger,
i think people are just getting more and more fed up with playing against him,neutral,(nenhum),neutral,
Only bet on games you like. Sometimes go a couple days without action. Betting just for the sake of staking something is never smart.,disapproval,neutral,disapproval,neutral
"Ok, fair enough. From your original post, it wasn't really clear that you looked at sources other than YouTube.",confusion,neutral,confusion,neutral
This sounds an awful lot like khorne......,disgust,(nenhum),disgust,
I’m glad you had a great time here! Wishing you safe travels!,"joy, optimism",(nenhum),"joy, optimism",
"Did they really have overhead projectors in the late 00s/early 10s? If so, how underfunded was your school?",neutral,(nenhum),neutral,
"Just rumors online, it most likely won't happen",optimism,neutral,optimism,neutral
What? A [NAME] supporter purposefully misrepresenting the facts? You don't say.,neutral,(nenhum),neutral,
My dog is less uglier than this.,neutral,(nenhum),neutral,
Must be why I'm alive. That sucks.,"annoyance, sadness",(nenhum),"annoyance, sadness",
I was teased for being a virgin when I was a 6th grader- in 2005,embarrassment,(nenhum),embarrassment,
Works for me. The video is called : The great porn experiment | [NAME] | TEDxGlasgow,neutral,admiration,neutral,admiration
Oh boy 🤣🤣,neutral,(nenhum),neutral,
Unfortunately for us it’s not too early. But if you want way too early 2020 draft discussion I’m really high on [NAME] from Wisconsin,neutral,(nenhum),neutral,
helpful quad helped him to his feet!,neutral,(nenhum),neutral,
You also can’t prove it happened so logically this doesn’t exist and is a paradox that never happened therefore pi = 3.14159,disapproval,neutral,disapproval,neutral
I have a bad feeling I’m gonna regret not tuning into this,remorse,(nenhum),remorse,
How was the problem resolved??? Having the same issue????,neutral,(nenhum),neutral,
